id,titulo,popularidade,nota,votos,data_lancamento,descricao
106,O Predador,38.6162,7.5,8664,1987-06-12,"O major Alan ""Dutch"" Schaefer lidera uma equipe de resgate em uma selva da América Central, para tentar encontrar um ministro estrangeiro e funcionários do governo que saíram da rota e se perderam. O exército acredita que eles estejam nas mãos de guerrilheiros, mas o que eles não imaginam é que a floresta esconde uma ameaça mortal, um ser de outro planeta, fortemente armado, que sente enorme prazer em matar."
1246049,Drácula - Uma História de Amor Eterno,38.6131,7.1,443,2025-07-30,"Na trama, após a morte de sua esposa, um príncipe do século XV renuncia a Deus e se torna um vampiro. Séculos depois, na Londres do século XIX, ele vê uma mulher parecida com sua falecida esposa e a persegue, selando seu próprio destino."
1096563,O Fim da Lealdade,38.4142,5.4,7,2023-03-07,"Grant faz parte de uma família de criminosos e jura vingança após o assassinato de seu pai. Conforme sua dor se transforma em violência, cabe ao seu melhor amigo, um agente federal, fazer de tudo para impedi-lo de perder o controle."
1305717,Hunting Grounds,38.0181,6.7,61,2025-05-16,"Uma mãe que foge do marido ligado à máfia encontra abrigo com um andarilho chamado Jake, mas quando os capangas dele se aproximam, Jake se revela ainda mais perigoso do que quem ela tentava evitar."
1135429,Nanoshark,38.0115,2.0,4,2024-03-05,
1210732,Un ours dans le Jura,37.9387,6.479,213,2025-01-01,
1007734,Anônimo 2,37.617,7.057,996,2025-08-13,"O pai suburbano Hutch Mansell, ex-assassino letal, é levado de volta ao seu passado violento depois de impedir uma invasão domiciliar, desencadeando uma cadeia de eventos que revela segredos sobre o passado de sua esposa Becca."
157336,Interestelar,37.1433,8.463,38291,2014-11-05,"As reservas naturais da Terra estão chegando ao fim e um grupo de astronautas recebe a missão de verificar possíveis planetas para receberem a população mundial, possibilitando a continuação da espécie. Cooper é chamado para liderar o grupo e aceita a missão sabendo que pode nunca mais ver os filhos. Ao lado de Brand, Jenkins e Doyle, ele seguirá em busca de um novo lar."
1035259,Corra Que a Polícia Vem Aí!,37.0417,6.515,1110,2025-07-30,Apenas um homem tem as habilidades necessárias para liderar o Esquadrão Policial e salvar o mundo.
1257009,Guerra Primitiva,36.4948,6.822,166,2025-08-21,"Durante a Guerra do Vietnã, uma unidade de reconhecimento se aventura em um vale isolado na selva para descobrir o destino de um pelotão desaparecido. Logo eles se veem em uma luta por suas vidas contra um inimigo inesperado: dinossauros pré-históricos."
278,Um Sonho de Liberdade,36.4946,8.712,29271,1994-09-23,"Em 1946, Andy Dufresne, um banqueiro jovem e bem sucedido, tem a sua vida radicalmente modificada ao ser condenado por um crime que nunca cometeu, o homicídio de sua esposa e do amante dela. Ele é mandado para uma prisão que é o pesadelo de qualquer detento, a Penitenciária Estadual de Shawshank, no Maine. Lá ele irá cumprir a pena perpétua. Andy logo será apresentado a Warden Norton, o corrupto e cruel agente penitenciário, que usa a Bíblia como arma de controle e ao Capitão Byron Hadley que trata os internos como animais. Andy faz amizade com Ellis Boyd Redding, um prisioneiro que cumpre pena há 20 anos e controla o mercado negro da instituição."
1284120,A Meia-Irmã Feia,36.4883,7.335,701,2025-03-07,"Em um reino de conto de fadas onde a beleza é um negócio brutal, Elvira luta para competir com sua meia-irmã incrivelmente linda, e ela fará de tudo para chamar a atenção do príncipe. Uma versão moderna e bem diferente do Conto da ""Cinderela""."
83533,Avatar: Fogo e Cinzas,36.248,0.0,0,2025-12-17,"Após a devastadora guerra contra a RDA e a perda de seu filho mais velho, Jake Sully e Neytiri enfrentam uma nova ameaça em Pandora: o Povo das Cinzas, uma tribo Na'vi violenta e sedenta por poder, liderada pelo implacável Varang. A família de Jake deve lutar por sua sobrevivência e pelo futuro de Pandora em um conflito que os leva aos seus limites emocionais e físicos."
1403735,లైలా,36.1025,5.2,6,2025-02-14,
1266990,Kulong,35.8109,6.0,7,2024-05-24,
1425122,Um Natal Bem Jonas Brothers,35.7935,6.554,56,2025-11-10,Os Jonas Brothers têm dificuldades a chegar a casa a tempo de passar o Natal com as suas famílias.
1175942,Os Caras Malvados 2,35.1063,7.75,533,2025-07-24,"Os agora reformados Bad Guys estão tentando (muito, muito mesmo) ser bons, mas em vez disso se veem sequestrados para um assalto de alto risco e alcance mundial, arquitetado por uma nova equipe de criminosos que eles nunca imaginaram: as Bad Girls."
1316147,Grand Prix: A Toda Velocidade,34.5993,7.3,20,2025-07-24,"Edda, uma jovem ratinha e filha do operador de parque de diversões Erwin, sonha em se tornar uma piloto de corrida. Antes do 50º aniversário do Grande Prêmio da Europa, Edda tem a oportunidade de conhecer seu ídolo, o astro das corridas Ed, e ajudar seu pai a salvar seu negócio falido. Mas, para isso, ela terá que assumir o volante sozinha."
372058,Your name.,33.8287,8.479,12119,2016-08-26,"Mitsuha é a filha do prefeito de uma pequena cidade, mas sonha em tentar a sorte em Tóquio. Taki trabalha em um restaurante em Tóquio e deseja largar o seu emprego. Os dois não se conhecem, mas estão conectados pelas imagens de seus sonhos."
77250,O Furacão,33.7735,6.7,48,1937-11-09,"Ao passar de navio por uma ilha dos Mares do Sul deserta e em ruínas, o médico francês, Dr. Kersaint, conta a uma amiga a trágica história do desastre que destruiu o lugar. O nome da ilha é Manukura, uma colônia francesa governada pelo Senhor De Laage. Ele estava em conflito com os nativos pois se recusava a interceder em favor de Terangi, um herói local que servia como imediato em um navio mercante e era casado com a bela Marama. Terangi fora preso ao bater em um importante homem branco num bar no Taiti e fugira depois de oito anos, reencontrando a família após navegar em uma balsa por mais de mil quilômetros. Esse momento coincide com a chegada de um terrível furacão que vai devastar a ilha."
1229910,Kryptic,33.4162,5.15,20,2025-06-09,
1142101,A Vingança Não é um Jogo,33.3955,5.167,27,2024-02-03,Uma mãe de luto usa um jogo de realidade virtual para atrapalhar a viagem de fim de semana de seus antigos amigos. Mas o que começa como um exercício de cura terapêutica se transforma em uma noite de vingança.
62201,शहँशाह,33.3726,6.2,23,1988-01-29,
338969,O Vingador Tóxico,33.1977,6.2,205,2025-08-28,"Um terrível acidente tóxico transforma o zelador Winston Gooze, doente terminal, em uma nova evolução de herói: o Vingador Tóxico. Agora, empunhando um esfregão brilhante com força sobre-humana, ele precisa correr contra o tempo para salvar seu filho e deter um tirano implacável e sedento de poder, determinado a usar superpoderes tóxicos para fortalecer seu império poluído."
10483,Corrida Mortal,32.9348,6.29,3983,2008-08-22,"Jensen Ames é um ex-piloto profissional condenado por um terrível assassinato. Encarcerado em Terminal Island, uma prisão de segurança máxima com regras próprias, ele se vê obrigado a voltar às pistas e participar de uma competição mortal cujo vencedor pode conquistar a liberdade. O problema é que lá a corrida e os competidores são diferentes, enquanto a vontade de matar e ser livre correm lado a lado."
